recv_yes_P3_02,C,C:20;P1:8;P2:8;P3:8,12.20,,receive,P3
decide_commit_02,C,C:21;P1:8;P2:8;P3:8,12.50,committed,local,
commit_cmd_P1_02,C,C:22;P1:8;P2:8;P3:8,12.70,,send,P1
commit_cmd_P2_02,C,C:23;P1:8;P2:8;P3:8,12.80,,send,P2
commit_cmd_P3_02,C,C:24;P1:8;P2:8;P3:8,12.90,,send,P3
recv_commit_P1_02,P1,C:22;P1:13;P2:8;P3:8,13.50,,receive,C
recv_commit_P2_02,P2,C:23;P1:8;P2:13;P3:8,13.60,,receive,C
recv_commit_P3_02,P3,C:24;P1:8;P2:8;P3:13,13.70,,receive,C
local_commit_P1_02,P1,C:22;P1:14;P2:8;P3:8,14.00,local_commit_P1,local,
local_commit_P2_02,P2,C:23;P1:8;P2:14;P3:8,14.10,local_commit_P2,local,
local_commit_P3_02,P3,C:24;P1:8;P2:8;P3:14,14.20,local_commit_P3,local,
ack_P1_02,P1,C:22;P1:15;P2:8;P3:8,14.50,,send,C
ack_P2_02,P2,C:23;P1:8;P2:15;P3:8,14.60,,send,C
ack_P3_02,P3,C:24;P1:8;P2:8;P3:15,14.70,,send,C
tx_done_02,C,C:25;P1:8;P2:8;P3:8,15.50,,local,
begin_tx_03,C,C:26;P1:8;P2:8;P3:8,17.00,,local,
prepare_P1_03,C,C:27;P1:8;P2:8;P3:8,17.10,,send,P1
prepare_P2_03,C,C:28;P1:8;P2:8;P3:8,17.20,,send,P2
prepare_P3_03,C,C:29;P1:8;P2:8;P3:8,17.30,,send,P3
recv_prep_P1_03,P1,C:27;P1:16;P2:8;P3:8,18.00,,receive,C
recv_prep_P2_03,P2,C:28;P1:8;P2:16;P3:8,18.10,,receive,C
recv_prep_P3_03,P3,C:29;P1:8;P2:8;P3:16,18.20,,receive,C
vote_yes_P2_03,P2,C:28;P1:8;P2:17;P3:8,18.50,vote_yes_P2,local,
vote_yes_P1_03,P1,C:27;P1:17;P2:8;P3:8,18.70,vote_yes_P1,local,
prepared_P1_03,P1,C:27;P1:18;P2:8;P3:8,18.75,prepared_P1,local,
prepared_P2_03,P2,C:28;P1:8;P2:18;P3:8,18.80,prepared_P2,local,
vote_yes_P3_03,P3,C:29;P1:8;P2:8;P3:17,19.00,vote_yes_P3,local,
prepared_P3_03,P3,C:29;P1:8;P2:8;P3:18,19.05,prepared_P3,local,
send_yes_P1_03,P1,C:27;P1:19;P2:8;P3:8,19.30,,send,C
send_yes_P2_03,P2,C:28;P1:8;P2:19;P3:8,19.40,,send,C
send_yes_P3_03,P3,C:29;P1:8;P2:8;P3:19,19.50,,send,C
recv_yes_P1_03,C,C:30;P1:12;P2:8;P3:8,20.00,,receive,P1
recv_yes_P2_03,C,C:31;P1:12;P2:12;P3:8,20.10,,receive,P2
recv_yes_P3_03,C,C:32;P1:12;P2:12;P3:12,20.20,,receive,P3
decide_commit_03,C,C:33;P1:12;P2:12;P3:12,20.50,committed,local,
commit_cmd_P1_03,C,C:34;P1:12;P2:12;P3:12,20.70,,send,P1
commit_cmd_P2_03,C,C:35;P1:12;P2:12;P3:12,20.80,,send,P2
commit_cmd_P3_03,C,C:36;P1:12;P2:12;P3:12,20.90,,send,P3
recv_commit_P1_03,P1,C:34;P1:20;P2:12;P3:12,21.50,,receive,C
recv_commit_P2_03,P2,C:35;P1:12;P2:20;P3:12,21.60,,receive,C
recv_commit_P3_03,P3,C:36;P1:12;P2:12;P3:20,21.70,,receive,C
local_commit_P1_03,P1,C:34;P1:21;P2:12;P3:12,22.00,local_commit_P1,local,
local_commit_P2_03,P2,C:35;P1:12;P2:21;P3:12,22.10,local_commit_P2,local,
local_commit_P3_03,P3,C:36;P1:12;P2:12;P3:21,22.20,local_commit_P3,local,
ack_P1_03,P1,C:34;P1:22;P2:12;P3:12,22.50,,send,C
ack_P2_03,P2,C:35;P1:12;P2:22;P3:12,22.60,,send,C
ack_P3_03,P3,C:36;P1:12;P2:12;P3:22,22.70,,send,C
tx_done_03,C,C:37;P1:12;P2:12;P3:12,23.50,,local,
begin_tx_04,C,C:38;P1:12;P2:12;P3:12,25.00,,local,
prepare_P1_04,C,C:39;P1:12;P2:12;P3:12,25.10,,send,P1
prepare_P2_04,C,C:40;P1:12;P2:12;P3:12,25.20,,send,P2
prepare_P3_04,C,C:41;P1:12;P2:12;P3:12,25.30,,send,P3
recv_prep_P1_04,P1,C:39;P1:23;P2:12;P3:12,26.00,,receive,C
recv_prep_P2_04,P2,C:40;P1:12;P2:23;P3:12,26.10,,receive,C
recv_prep_P3_04,P3,C:41;P1:12;P2:12;P3:23,26.20,,receive,C
vote_yes_P2_04,P2,C:40;P1:12;P2:24;P3:12,26.50,vote_yes_P2,local,
vote_yes_P1_04,P1,C:39;P1:24;P2:12;P3:12,26.70,vote_yes_P1,local,
prepared_P1_04,P1,C:39;P1:25;P2:12;P3:12,26.75,prepared_P1,local,
prepared_P2_04,P2,C:40;P1:12;P2:25;P3:12,26.80,prepared_P2,local,
vote_yes_P3_04,P3,C:41;P1:12;P2:12;P3:24,27.00,vote_yes_P3,local,
prepared_P3_04,P3,C:41;P1:12;P2:12;P3:25,27.05,prepared_P3,local,
send_yes_P1_04,P1,C:39;P1:26;P2:12;P3:12,27.30,,send,C
send_yes_P2_04,P2,C:40;P1:12;P2:26;P3:12,27.40,,send,C
send_yes_P3_04,P3,C:41;P1:12;P2:12;P3:26,27.50,,send,C
recv_yes_P1_04,C,C:42;P1:15;P2:12;P3:12,28.00,,receive,P1
recv_yes_P2_04,C,C:43;P1:15;P2:15;P3:12,28.10,,receive,P2
recv_yes_P3_04,C,C:44;P1:15;P2:15;P3:15,28.20,,receive,P3
decide_commit_04,C,C:45;P1:15;P2:15;P3:15,28.50,committed,local,
commit_cmd_P1_04,C,C:46;P1:15;P2:15;P3:15,28.70,,send,P1
commit_cmd_P2_04,C,C:47;P1:15;P2:15;P3:15,28.80,,send,P2
commit_cmd_P3_04,C,C:48;P1:15;P2:15;P3:15,28.90,,send,P3
recv_commit_P1_04,P1,C:46;P1:27;P2:15;P3:15,29.50,,receive,C
recv_commit_P2_04,P2,C:47;P1:15;P2:27;P3:15,29.60,,receive,C
recv_commit_P3_04,P3,C:48;P1:15;P2:15;P3:27,29.70,,receive,C
local_commit_P1_04,P1,C:46;P1:28;P2:15;P3:15,30.00,local_commit_P1,local,
local_commit_P2_04,P2,C:47;P1:15;P2:28;P3:15,30.10,local_commit_P2,local,
local_commit_P3_04,P3,C:48;P1:15;P2:15;P3:28,30.20,local_commit_P3,local,
ack_P1_04,P1,C:46;P1:29;P2:15;P3:15,30.50,,send,C
ack_P2_04,P2,C:47;P1:15;P2:29;P3:15,30.60,,send,C
ack_P3_04,P3,C:48;P1:15;P2:15;P3:29,30.70,,send,C
tx_done_04,C,C:49;P1:15;P2:15;P3:15,31.50,,local,
begin_tx_05,C,C:50;P1:15;P2:15;P3:15,33.00,,local,
prepare_P1_05,C,C:51;P1:15;P2:15;P3:15,33.10,,send,P1
prepare_P2_05,C,C:52;P1:15;P2:15;P3:15,33.20,,send,P2
prepare_P3_05,C,C:53;P1:15;P2:15;P3:15,33.30,,send,P3
recv_prep_P1_05,P1,C:51;P1:30;P2:15;P3:15,34.00,,receive,C
recv_prep_P2_05,P2,C:52;P1:15;P2:30;P3:15,34.10,,receive,C
recv_prep_P3_05,P3,C:53;P1:15;P2:15;P3:30,34.20,,receive,C
vote_yes_P2_05,P2,C:52;P1:15;P2:31;P3:15,34.50,vote_yes_P2,local,
vote_yes_P1_05,P1,C:51;P1:31;P2:15;P3:15,34.70,vote_yes_P1,local,
prepared_P1_05,P1,C:51;P1:32;P2:15;P3:15,34.75,prepared_P1,local,
prepared_P2_05,P2,C:52;P1:15;P2:32;P3:15,34.80,prepared_P2,local,
vote_yes_P3_05,P3,C:53;P1:15;P2:15;P3:31,35.00,vote_yes_P3,local,
prepared_P3_05,P3,C:53;P1:15;P2:15;P3:32,35.05,prepared_P3,local,
send_yes_P1_05,P1,C:51;P1:33;P2:15;P3:15,35.30,,send,C
send_yes_P2_05,P2,C:52;P1:15;P2:33;P3:15,35.40,,send,C
send_yes_P3_05,P3,C:53;P1:15;P2:15;P3:33,35.50,,send,C
recv_yes_P1_05,C,C:54;P1:19;P2:15;P3:15,36.00,,receive,P1
recv_yes_P2_05,C,C:55;P1:19;P2:19;P3:15,36.10,,receive,P2
recv_yes_P3_05,C,C:56;P1:19;P2:19;P3:19,36.20,,receive,P3
decide_commit_05,C,C:57;P1:19;P2:19;P3:19,36.50,committed,local,
commit_cmd_P1_05,C,C:58;P1:19;P2:19;P3:19,36.70,,send,P1
commit_cmd_P2_05,C,C:59;P1:19;P2:19;P3:19,36.80,,send,P2
commit_cmd_P3_05,C,C:60;P1:19;P2:19;P3:19,36.90,,send,P3
recv_commit_P1_05,P1,C:58;P1:34;P2:19;P3:19,37.50,,receive,C
recv_commit_P2_05,P2,C:59;P1:19;P2:34;P3:19,37.60,,receive,C
recv_commit_P3_05,P3,C:60;P1:19;P2:19;P3:34,37.70,,receive,C
local_commit_P1_05,P1,C:58;P1:35;P2:19;P3:19,38.00,local_commit_P1,local,
local_commit_P2_05,P2,C:59;P1:19;P2:35;P3:19,38.10,local_commit_P2,local,
local_commit_P3_05,P3,C:60;P1:19;P2:19;P3:35,38.20,local_commit_P3,local,
ack_P1_05,P1,C:58;P1:36;P2:19;P3:19,38.50,,send,C
ack_P2_05,P2,C:59;P1:19;P2:36;P3:19,38.60,,send,C
ack_P3_05,P3,C:60;P1:19;P2:19;P3:36,38.70,,send,C
tx_done_05,C,C:61;P1:19;P2:19;P3:19,39.50,,local,
begin_tx_06,C,C:62;P1:19;P2:19;P3:19,41.00,,local,
prepare_P1_06,C,C:63;P1:19;P2:19;P3:19,41.10,,send,P1
prepare_P2_06,C,C:64;P1:19;P2:19;P3:19,41.20,,send,P2
prepare_P3_06,C,C:65;P1:19;P2:19;P3:19,41.30,,send,P3
recv_prep_P1_06,P1,C:63;P1:37;P2:19;P3:19,42.00,,receive,C
recv_prep_P2_06,P2,C:64;P1:19;P2:37;P3:19,42.10,,receive,C
recv_prep_P3_06,P3,C:65;P1:19;P2:19;P3:37,42.20,,receive,C
vote_yes_P2_06,P2,C:64;P1:19;P2:38;P3:19,42.50,vote_yes_P2,local,
vote_yes_P1_06,P1,C:63;P1:38;P2:19;P3:19,42.70,vote_yes_P1,local,
prepared_P1_06,P1,C:63;P1:39;P2:19;P3:19,42.75,prepared_P1,local,
prepared_P2_06,P2,C:64;P1:19;P2:39;P3:19,42.80,prepared_P2,local,
vote_yes_P3_06,P3,C:65;P1:19;P2:19;P3:38,43.00,vote_yes_P3,local,
prepared_P3_06,P3,C:65;P1:19;P2:19;P3:39,43.05,prepared_P3,local,
send_yes_P1_06,P1,C:63;P1:40;P2:19;P3:19,43.30,,send,C
send_yes_P2_06,P2,C:64;P1:19;P2:40;P3:19,43.40,,send,C
send_yes_P3_06,P3,C:65;P1:19;P2:19;P3:40,43.50,,send,C
recv_yes_P1_06,C,C:66;P1:22;P2:19;P3:19,44.00,,receive,P1
recv_yes_P2_06,C,C:67;P1:22;P2:22;P3:19,44.10,,receive,P2
recv_yes_P3_06,C,C:68;P1:22;P2:22;P3:22,44.20,,receive,P3
decide_commit_06,C,C:69;P1:22;P2:22;P3:22,44.50,committed,local,
commit_cmd_P1_06,C,C:70;P1:22;P2:22;P3:22,44.70,,send,P1
commit_cmd_P2_06,C,C:71;P1:22;P2:22;P3:22,44.80,,send,P2
commit_cmd_P3_06,C,C:72;P1:22;P2:22;P3:22,44.90,,send,P3
recv_commit_P1_06,P1,C:70;P1:41;P2:22;P3:22,45.50,,receive,C
recv_commit_P2_06,P2,C:71;P1:22;P2:41;P3:22,45.60,,receive,C
recv_commit_P3_06,P3,C:72;P1:22;P2:22;P3:41,45.70,,receive,C
local_commit_P1_06,P1,C:70;P1:42;P2:22;P3:22,46.00,local_commit_P1,local,
local_commit_P2_06,P2,C:71;P1:22;P2:42;P3:22,46.10,local_commit_P2,local,
local_commit_P3_06,P3,C:72;P1:22;P2:22;P3:42,46.20,local_commit_P3,local,
ack_P1_06,P1,C:70;P1:43;P2:22;P3:22,46.50,,send,C
ack_P2_06,P2,C:71;P1:22;P2:43;P3:22,46.60,,send,C
ack_P3_06,P3,C:72;P1:22;P2:22;P3:43,46.70,,send,C
tx_done_06,C,C:73;P1:22;P2:22;P3:22,47.50,,local,
begin_tx_07,C,C:74;P1:22;P2:22;P3:22,49.00,,local,
prepare_P1_07,C,C:75;P1:22;P2:22;P3:22,49.10,,send,P1
prepare_P2_07,C,C:76;P1:22;P2:22;P3:22,49.20,,send,P2
prepare_P3_07,C,C:77;P1:22;P2:22;P3:22,49.30,,send,P3
recv_prep_P1_07,P1,C:75;P1:44;P2:22;P3:22,50.00,,receive,C
recv_prep_P2_07,P2,C:76;P1:22;P2:44;P3:22,50.10,,receive,C
recv_prep_P3_07,P3,C:77;P1:22;P2:22;P3:44,50.20,,receive,C
vote_yes_P2_07,P2,C:76;P1:22;P2:45;P3:22,50.50,vote_yes_P2,local,
vote_yes_P1_07,P1,C:75;P1:45;P2:22;P3:22,50.70,vote_yes_P1,local,
prepared_P1_07,P1,C:75;P1:46;P2:22;P3:22,50.75,prepared_P1,local,
prepared_P2_07,P2,C:76;P1:22;P2:46;P3:22,50.80,prepared_P2,local,
vote_yes_P3_07,P3,C:77;P1:22;P2:22;P3:45,51.00,vote_yes_P3,local,
prepared_P3_07,P3,C:77;P1:22;P2:22;P3:46,51.05,prepared_P3,local,
send_yes_P1_07,P1,C:75;P1:47;P2:22;P3:22,51.30,,send,C
send_yes_P2_07,P2,C:76;P1:22;P2:47;P3:22,51.40,,send,C
send_yes_P3_07,P3,C:77;P1:22;P2:22;P3:47,51.50,,send,C
recv_yes_P1_07,C,C:78;P1:26;P2:22;P3:22,52.00,,receive,P1
recv_yes_P2_07,C,C:79;P1:26;P2:26;P3:22,52.10,,receive,P2
recv_yes_P3_07,C,C:80;P1:26;P2:26;P3:26,52.20,,receive,P3
decide_commit_07,C,C:81;P1:26;P2:26;P3:26,52.50,committed,local,
commit_cmd_P1_07,C,C:82;P1:26;P2:26;P3:26,52.70,,send,P1
commit_cmd_P2_07,C,C:83;P1:26;P2:26;P3:26,52.80,,send,P2
commit_cmd_P3_07,C,C:84;P1:26;P2:26;P3:26,52.90,,send,P3
recv_commit_P1_07,P1,C:82;P1:48;P2:26;P3:26,53.50,,receive,C
recv_commit_P2_07,P2,C:83;P1:26;P2:48;P3:26,53.60,,receive,C
recv_commit_P3_07,P3,C:84;P1:26;P2:26;P3:48,53.70,,receive,C
local_commit_P1_07,P1,C:82;P1:49;P2:26;P3:26,54.00,local_commit_P1,local,
local_commit_P2_07,P2,C:83;P1:26;P2:49;P3:26,54.10,local_commit_P2,local,
local_commit_P3_07,P3,C:84;P1:26;P2:26;P3:49,54.20,local_commit_P3,local,
ack_P1_07,P1,C:82;P1:50;P2:26;P3:26,54.50,,send,C
ack_P2_07,P2,C:83;P1:26;P2:50;P3:26,54.60,,send,C
ack_P3_07,P3,C:84;P1:26;P2:26;P3:50,54.70,,send,C
tx_done_07,C,C:85;P1:26;P2:26;P3:26,55.50,,local,
begin_tx_08,C,C:86;P1:26;P2:26;P3:26,57.00,,local,
prepare_P1_08,C,C:87;P1:26;P2:26;P3:26,57.10,,send,P1
prepare_P2_08,C,C:88;P1:26;P2:26;P3:26,57.20,,send,P2
prepare_P3_08,C,C:89;P1:26;P2:26;P3:26,57.30,,send,P3
recv_prep_P1_08,P1,C:87;P1:51;P2:26;P3:26,58.00,,receive,C
recv_prep_P2_08,P2,C:88;P1:26;P2:51;P3:26,58.10,,receive,C
recv_prep_P3_08,P3,C:89;P1:26;P2:26;P3:51,58.20,,receive,C
vote_yes_P2_08,P2,C:88;P1:26;P2:52;P3:26,58.50,vote_yes_P2,local,
vote_yes_P1_08,P1,C:87;P1:52;P2:26;P3:26,58.70,vote_yes_P1,local,
prepared_P1_08,P1,C:87;P1:53;P2:26;P3:26,58.75,prepared_P1,local,
prepared_P2_08,P2,C:88;P1:26;P2:53;P3:26,58.80,prepared_P2,local,
vote_yes_P3_08,P3,C:89;P1:26;P2:26;P3:52,59.00,vote_yes_P3,local,
prepared_P3_08,P3,C:89;P1:26;P2:26;P3:53,59.05,prepared_P3,local,
send_yes_P1_08,P1,C:87;P1:54;P2:26;P3:26,59.30,,send,C
send_yes_P2_08,P2,C:88;P1:26;P2:54;P3:26,59.40,,send,C
send_yes_P3_08,P3,C:89;P1:26;P2:26;P3:54,59.50,,send,C
recv_yes_P1_08,C,C:90;P1:29;P2:26;P3:26,60.00,,receive,P1
recv_yes_P2_08,C,C:91;P1:29;P2:29;P3:26,60.10,,receive,P2
recv_yes_P3_08,C,C:92;P1:29;P2:29;P3:29,60.20,,receive,P3
decide_commit_08,C,C:93;P1:29;P2:29;P3:29,60.50,committed,local,
commit_cmd_P1_08,C,C:94;P1:29;P2:29;P3:29,60.70,,send,P1
commit_cmd_P2_08,C,C:95;P1:29;P2:29;P3:29,60.80,,send,P2
commit_cmd_P3_08,C,C:96;P1:29;P2:29;P3:29,60.90,,send,P3
recv_commit_P1_08,P1,C:94;P1:55;P2:29;P3:29,61.50,,receive,C
recv_commit_P2_08,P2,C:95;P1:29;P2:55;P3:29,61.60,,receive,C
recv_commit_P3_08,P3,C:96;P1:29;P2:29;P3:55,61.70,,receive,C
local_commit_P1_08,P1,C:94;P1:56;P2:29;P3:29,62.00,local_commit_P1,local,
local_commit_P2_08,P2,C:95;P1:29;P2:56;P3:29,62.10,local_commit_P2,local,
local_commit_P3_08,P3,C:96;P1:29;P2:29;P3:56,62.20,local_commit_P3,local,
ack_P1_08,P1,C:94;P1:57;P2:29;P3:29,62.50,,send,C
ack_P2_08,P2,C:95;P1:29;P2:57;P3:29,62.60,,send,C
ack_P3_08,P3,C:96;P1:29;P2:29;P3:57,62.70,,send,C
tx_done_08,C,C:97;P1:29;P2:29;P3:29,63.50,,local,
begin_tx_09,C,C:98;P1:29;P2:29;P3:29,65.00,,local,
prepare_P1_09,C,C:99;P1:29;P2:29;P3:29,65.10,,send,P1
prepare_P2_09,C,C:100;P1:29;P2:29;P3:29,65.20,,send,P2
prepare_P3_09,C,C:101;P1:29;P2:29;P3:29,65.30,,send,P3
recv_prep_P1_09,P1,C:99;P1:58;P2:29;P3:29,66.00,,receive,C
recv_prep_P2_09,P2,C:100;P1:29;P2:58;P3:29,66.10,,receive,C
recv_prep_P3_09,P3,C:101;P1:29;P2:29;P3:58,66.20,,receive,C
vote_yes_P2_09,P2,C:100;P1:29;P2:59;P3:29,66.50,vote_yes_P2,local,
vote_yes_P1_09,P1,C:99;P1:59;P2:29;P3:29,66.70,vote_yes_P1,local,
prepared_P1_09,P1,C:99;P1:60;P2:29;P3:29,66.75,prepared_P1,local,
prepared_P2_09,P2,C:100;P1:29;P2:60;P3:29,66.80,prepared_P2,local,
vote_yes_P3_09,P3,C:101;P1:29;P2:29;P3:59,67.00,vote_yes_P3,local,
prepared_P3_09,P3,C:101;P1:29;P2:29;P3:60,67.05,prepared_P3,local,
send_yes_P1_09,P1,C:99;P1:61;P2:29;P3:29,67.30,,send,C
send_yes_P2_09,P2,C:100;P1:29;P2:61;P3:29,67.40,,send,C
send_yes_P3_09,P3,C:101;P1:29;P2:29;P3:61,67.50,,send,C
recv_yes_P1_09,C,C:102;P1:33;P2:29;P3:29,68.00,,receive,P1
recv_yes_P2_09,C,C:103;P1:33;P2:33;P3:29,68.10,,receive,P2
recv_yes_P3_09,C,C:104;P1:33;P2:33;P3:33,68.20,,receive,P3
decide_commit_09,C,C:105;P1:33;P2:33;P3:33,68.50,committed,local,
commit_cmd_P1_09,C,C:106;P1:33;P2:33;P3:33,68.70,,send,P1
commit_cmd_P2_09,C,C:107;P1:33;P2:33;P3:33,68.80,,send,P2
commit_cmd_P3_09,C,C:108;P1:33;P2:33;P3:33,68.90,,send,P3
recv_commit_P1_09,P1,C:106;P1:62;P2:33;P3:33,69.50,,receive,C
recv_commit_P2_09,P2,C:107;P1:33;P2:62;P3:33,69.60,,receive,C
recv_commit_P3_09,P3,C:108;P1:33;P2:33;P3:62,69.70,,receive,C
local_commit_P1_09,P1,C:106;P1:63;P2:33;P3:33,70.00,local_commit_P1,local,
local_commit_P2_09,P2,C:107;P1:33;P2:63;P3:33,70.10,local_commit_P2,local,
local_commit_P3_09,P3,C:108;P1:33;P2:33;P3:63,70.20,local_commit_P3,local,
ack_P1_09,P1,C:106;P1:64;P2:33;P3:33,70.50,,send,C
ack_P2_09,P2,C:107;P1:33;P2:64;P3:33,70.60,,send,C
ack_P3_09,P3,C:108;P1:33;P2:33;P3:64,70.70,,send,C
tx_done_09,C,C:109;P1:33;P2:33;P3:33,71.50,,local,
begin_tx_10,C,C:110;P1:33;P2:33;P3:33,73.00,,local,
prepare_P1_10,C,C:111;P1:33;P2:33;P3:33,73.10,,send,P1
prepare_P2_10,C,C:112;P1:33;P2:33;P3:33,73.20,,send,P2
prepare_P3_10,C,C:113;P1:33;P2:33;P3:33,73.30,,send,P3
recv_prep_P1_10,P1,C:111;P1:65;P2:33;P3:33,74.00,,receive,C
recv_prep_P2_10,P2,C:112;P1:33;P2:65;P3:33,74.10,,receive,C
recv_prep_P3_10,P3,C:113;P1:33;P2:33;P3:65,74.20,,receive,C
vote_yes_P2_10,P2,C:112;P1:33;P2:66;P3:33,74.50,vote_yes_P2,local,
vote_yes_P1_10,P1,C:111;P1:66;P2:33;P3:33,74.70,vote_yes_P1,local,
prepared_P1_10,P1,C:111;P1:67;P2:33;P3:33,74.75,prepared_P1,local,
prepared_P2_10,P2,C:112;P1:33;P2:67;P3:33,74.80,prepared_P2,local,
vote_yes_P3_10,P3,C:113;P1:33;P2:33;P3:66,75.00,vote_yes_P3,local,
prepared_P3_10,P3,C:113;P1:33;P2:33;P3:67,75.05,prepared_P3,local,
send_yes_P1_10,P1,C:111;P1:68;P2:33;P3:33,75.30,,send,C
send_yes_P2_10,P2,C:112;P1:33;P2:68;P3:33,75.40,,send,C
send_yes_P3_10,P3,C:113;P1:33;P2:33;P3:68,75.50,,send,C
recv_yes_P1_10,C,C:114;P1:36;P2:33;P3:33,76.00,,receive,P1
recv_yes_P2_10,C,C:115;P1:36;P2:36;P3:33,76.10,,receive,P2
