d3_send_d1_01,Drone3,Drone1:5;Drone2:4;Drone3:4;Drone4:0;Drone5:0;Drone6:0;Drone7:0;Drone8:0;Drone9:0;Drone10:0,7.0,relative_sent,send,Drone1
d1_recv_d3_01,Drone1,Drone1:6;Drone2:4;Drone3:4;Drone4:0;Drone5:0;Drone6:0;Drone7:0;Drone8:0;Drone9:0;Drone10:0,8.0,relative_confirmed,receive,Drone3
d1_send_d4_01,Drone1,Drone1:7;Drone2:4;Drone3:4;Drone4:0;Drone5:0;Drone6:0;Drone7:0;Drone8:0;Drone9:0;Drone10:0,9.2,velocity_sent,send,Drone4
d4_recv_d1_01,Drone4,Drone1:7;Drone2:4;Drone3:4;Drone4:2;Drone5:0;Drone6:0;Drone7:0;Drone8:0;Drone9:0;Drone10:0,10.0,processing,receive,Drone1
d4_compute_01,Drone4,Drone1:7;Drone2:4;Drone3:4;Drone4:3;Drone5:0;Drone6:0;Drone7:0;Drone8:0;Drone9:0;Drone10:0,10.5,relative_computed,local,
d4_send_d1_01,Drone4,Drone1:7;Drone2:4;Drone3:4;Drone4:4;Drone5:0;Drone6:0;Drone7:0;Drone8:0;Drone9:0;Drone10:0,11.0,relative_sent,send,Drone1
d1_recv_d4_01,Drone1,Drone1:8;Drone2:4;Drone3:4;Drone4:4;Drone5:0;Drone6:0;Drone7:0;Drone8:0;Drone9:0;Drone10:0,12.0,relative_confirmed,receive,Drone4
d1_send_d5_01,Drone1,Drone1:9;Drone2:4;Drone3:4;Drone4:4;Drone5:0;Drone6:0;Drone7:0;Drone8:0;Drone9:0;Drone10:0,13.2,velocity_sent,send,Drone5
d5_recv_d1_01,Drone5,Drone1:9;Drone2:4;Drone3:4;Drone4:4;Drone5:2;Drone6:0;Drone7:0;Drone8:0;Drone9:0;Drone10:0,14.0,processing,receive,Drone1
d5_compute_01,Drone5,Drone1:9;Drone2:4;Drone3:4;Drone4:4;Drone5:3;Drone6:0;Drone7:0;Drone8:0;Drone9:0;Drone10:0,14.5,relative_computed,local,
d5_send_d1_01,Drone5,Drone1:9;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:0;Drone7:0;Drone8:0;Drone9:0;Drone10:0,15.0,relative_sent,send,Drone1
d1_recv_d5_01,Drone1,Drone1:10;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:0;Drone7:0;Drone8:0;Drone9:0;Drone10:0,16.0,relative_confirmed,receive,Drone5
d1_send_d6_01,Drone1,Drone1:11;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:0;Drone7:0;Drone8:0;Drone9:0;Drone10:0,17.2,velocity_sent,send,Drone6
d6_recv_d1_01,Drone6,Drone1:11;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:2;Drone7:0;Drone8:0;Drone9:0;Drone10:0,18.0,processing,receive,Drone1
d6_compute_01,Drone6,Drone1:11;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:3;Drone7:0;Drone8:0;Drone9:0;Drone10:0,18.5,relative_computed,local,
d6_send_d1_01,Drone6,Drone1:11;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:0;Drone8:0;Drone9:0;Drone10:0,19.0,relative_sent,send,Drone1
d1_recv_d6_01,Drone1,Drone1:12;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:0;Drone8:0;Drone9:0;Drone10:0,20.0,relative_confirmed,receive,Drone6
d1_send_d7_01,Drone1,Drone1:13;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:0;Drone8:0;Drone9:0;Drone10:0,21.2,velocity_sent,send,Drone7
d7_recv_d1_01,Drone7,Drone1:13;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:2;Drone8:0;Drone9:0;Drone10:0,22.0,processing,receive,Drone1
d7_compute_01,Drone7,Drone1:13;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:3;Drone8:0;Drone9:0;Drone10:0,22.5,relative_computed,local,
d7_send_d1_01,Drone7,Drone1:13;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:0;Drone9:0;Drone10:0,23.0,relative_sent,send,Drone1
d1_recv_d7_01,Drone1,Drone1:14;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:0;Drone9:0;Drone10:0,24.0,relative_confirmed,receive,Drone7
d1_send_d8_01,Drone1,Drone1:15;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:0;Drone9:0;Drone10:0,25.2,velocity_sent,send,Drone8
d8_recv_d1_01,Drone8,Drone1:15;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:2;Drone9:0;Drone10:0,26.0,processing,receive,Drone1
d8_compute_01,Drone8,Drone1:15;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:3;Drone9:0;Drone10:0,26.5,relative_computed,local,
d8_send_d1_01,Drone8,Drone1:15;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:0;Drone10:0,27.0,relative_sent,send,Drone1
d1_recv_d8_01,Drone1,Drone1:16;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:0;Drone10:0,28.0,relative_confirmed,receive,Drone8
d1_send_d9_01,Drone1,Drone1:17;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:0;Drone10:0,29.2,velocity_sent,send,Drone9
d9_recv_d1_01,Drone9,Drone1:17;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:2;Drone10:0,30.0,processing,receive,Drone1
d9_compute_01,Drone9,Drone1:17;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:3;Drone10:0,30.5,relative_computed,local,
d9_send_d1_01,Drone9,Drone1:17;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:0,31.0,relative_sent,send,Drone1
d1_recv_d9_01,Drone1,Drone1:18;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:0,32.0,relative_confirmed,receive,Drone9
d1_send_d10_01,Drone1,Drone1:19;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:0,33.2,velocity_sent,send,Drone10
d10_recv_d1_01,Drone10,Drone1:19;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:2,34.0,processing,receive,Drone1
d10_compute_01,Drone10,Drone1:19;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:3,34.5,relative_computed,local,
d10_send_d1_01,Drone10,Drone1:19;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,35.0,relative_sent,send,Drone1
d1_recv_d10_01,Drone1,Drone1:20;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,36.0,relative_confirmed,receive,Drone10
d1_measure_02,Drone1,Drone1:21;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,38.0,velocity_measured,local,
d1_send_d2_02,Drone1,Drone1:22;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,38.2,velocity_sent,send,Drone2
d2_recv_d1_02,Drone2,Drone1:22;Drone2:5;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,39.0,processing,receive,Drone1
d2_compute_02,Drone2,Drone1:22;Drone2:6;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,39.5,relative_computed,local,
d2_send_d1_02,Drone2,Drone1:22;Drone2:7;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,40.0,relative_sent,send,Drone1
d1_recv_d2_02,Drone1,Drone1:23;Drone2:7;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,41.0,relative_confirmed,receive,Drone2
d1_send_d3_02,Drone1,Drone1:24;Drone2:7;Drone3:4;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,42.2,velocity_sent,send,Drone3
d3_recv_d1_02,Drone3,Drone1:24;Drone2:7;Drone3:5;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,43.0,processing,receive,Drone1
d3_compute_02,Drone3,Drone1:24;Drone2:7;Drone3:6;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,43.5,relative_computed,local,
d3_send_d1_02,Drone3,Drone1:24;Drone2:7;Drone3:7;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,44.0,relative_sent,send,Drone1
d1_recv_d3_02,Drone1,Drone1:25;Drone2:7;Drone3:7;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,45.0,relative_confirmed,receive,Drone3
d1_send_d4_02,Drone1,Drone1:26;Drone2:7;Drone3:7;Drone4:4;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,46.2,velocity_sent,send,Drone4
d4_recv_d1_02,Drone4,Drone1:26;Drone2:7;Drone3:7;Drone4:5;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,47.0,processing,receive,Drone1
d4_compute_02,Drone4,Drone1:26;Drone2:7;Drone3:7;Drone4:6;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,47.5,relative_computed,local,
d4_send_d1_02,Drone4,Drone1:26;Drone2:7;Drone3:7;Drone4:7;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,48.0,relative_sent,send,Drone1
d1_recv_d4_02,Drone1,Drone1:27;Drone2:7;Drone3:7;Drone4:7;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,49.0,relative_confirmed,receive,Drone4
d1_send_d5_02,Drone1,Drone1:28;Drone2:7;Drone3:7;Drone4:7;Drone5:4;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,50.2,velocity_sent,send,Drone5
d5_recv_d1_02,Drone5,Drone1:28;Drone2:7;Drone3:7;Drone4:7;Drone5:5;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,51.0,processing,receive,Drone1
d5_compute_02,Drone5,Drone1:28;Drone2:7;Drone3:7;Drone4:7;Drone5:6;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,51.5,relative_computed,local,
d5_send_d1_02,Drone5,Drone1:28;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,52.0,relative_sent,send,Drone1
d1_recv_d5_02,Drone1,Drone1:29;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,53.0,relative_confirmed,receive,Drone5
d1_send_d6_02,Drone1,Drone1:30;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:4;Drone7:4;Drone8:4;Drone9:4;Drone10:4,54.2,velocity_sent,send,Drone6
d6_recv_d1_02,Drone6,Drone1:30;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:5;Drone7:4;Drone8:4;Drone9:4;Drone10:4,55.0,processing,receive,Drone1
d6_compute_02,Drone6,Drone1:30;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:6;Drone7:4;Drone8:4;Drone9:4;Drone10:4,55.5,relative_computed,local,
d6_send_d1_02,Drone6,Drone1:30;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:4;Drone8:4;Drone9:4;Drone10:4,56.0,relative_sent,send,Drone1
d1_recv_d6_02,Drone1,Drone1:31;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:4;Drone8:4;Drone9:4;Drone10:4,57.0,relative_confirmed,receive,Drone6
d1_send_d7_02,Drone1,Drone1:32;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:4;Drone8:4;Drone9:4;Drone10:4,58.2,velocity_sent,send,Drone7
d7_recv_d1_02,Drone7,Drone1:32;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:5;Drone8:4;Drone9:4;Drone10:4,59.0,processing,receive,Drone1
d7_compute_02,Drone7,Drone1:32;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:6;Drone8:4;Drone9:4;Drone10:4,59.5,relative_computed,local,
d7_send_d1_02,Drone7,Drone1:32;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:4;Drone9:4;Drone10:4,60.0,relative_sent,send,Drone1
d1_recv_d7_02,Drone1,Drone1:33;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:4;Drone9:4;Drone10:4,61.0,relative_confirmed,receive,Drone7
d1_send_d8_02,Drone1,Drone1:34;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:4;Drone9:4;Drone10:4,62.2,velocity_sent,send,Drone8
d8_recv_d1_02,Drone8,Drone1:34;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:5;Drone9:4;Drone10:4,63.0,processing,receive,Drone1
d8_compute_02,Drone8,Drone1:34;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:6;Drone9:4;Drone10:4,63.5,relative_computed,local,
d8_send_d1_02,Drone8,Drone1:34;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:4;Drone10:4,64.0,relative_sent,send,Drone1
d1_recv_d8_02,Drone1,Drone1:35;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:4;Drone10:4,65.0,relative_confirmed,receive,Drone8
d1_send_d9_02,Drone1,Drone1:36;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:4;Drone10:4,66.2,velocity_sent,send,Drone9
d9_recv_d1_02,Drone9,Drone1:36;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:5;Drone10:4,67.0,processing,receive,Drone1
d9_compute_02,Drone9,Drone1:36;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:6;Drone10:4,67.5,relative_computed,local,
d9_send_d1_02,Drone9,Drone1:36;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:4,68.0,relative_sent,send,Drone1
d1_recv_d9_02,Drone1,Drone1:37;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:4,69.0,relative_confirmed,receive,Drone9
d1_send_d10_02,Drone1,Drone1:38;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:4,70.2,velocity_sent,send,Drone10
d10_recv_d1_02,Drone10,Drone1:38;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:5,71.0,processing,receive,Drone1
d10_compute_02,Drone10,Drone1:38;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:6,71.5,relative_computed,local,
d10_send_d1_02,Drone10,Drone1:38;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,72.0,relative_sent,send,Drone1
d1_recv_d10_02,Drone1,Drone1:39;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,73.0,relative_confirmed,receive,Drone10
d1_measure_03,Drone1,Drone1:40;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,75.0,velocity_measured,local,
d1_send_d2_03,Drone1,Drone1:41;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,75.2,velocity_sent,send,Drone2
d2_recv_d1_03,Drone2,Drone1:41;Drone2:8;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,76.0,processing,receive,Drone1
d2_compute_03,Drone2,Drone1:41;Drone2:9;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,76.5,relative_computed,local,
d2_send_d1_03,Drone2,Drone1:41;Drone2:10;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,77.0,relative_sent,send,Drone1
d1_recv_d2_03,Drone1,Drone1:42;Drone2:10;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,78.0,relative_confirmed,receive,Drone2
d1_send_d3_03,Drone1,Drone1:43;Drone2:10;Drone3:7;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,79.2,velocity_sent,send,Drone3
d3_recv_d1_03,Drone3,Drone1:43;Drone2:10;Drone3:8;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,80.0,processing,receive,Drone1
d3_compute_03,Drone3,Drone1:43;Drone2:10;Drone3:9;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,80.5,relative_computed,local,
d3_send_d1_03,Drone3,Drone1:43;Drone2:10;Drone3:10;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,81.0,relative_sent,send,Drone1
d1_recv_d3_03,Drone1,Drone1:44;Drone2:10;Drone3:10;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,82.0,relative_confirmed,receive,Drone3
d1_send_d4_03,Drone1,Drone1:45;Drone2:10;Drone3:10;Drone4:7;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,83.2,velocity_sent,send,Drone4
d4_recv_d1_03,Drone4,Drone1:45;Drone2:10;Drone3:10;Drone4:8;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,84.0,processing,receive,Drone1
d4_compute_03,Drone4,Drone1:45;Drone2:10;Drone3:10;Drone4:9;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,84.5,relative_computed,local,
d4_send_d1_03,Drone4,Drone1:45;Drone2:10;Drone3:10;Drone4:10;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,85.0,relative_sent,send,Drone1
d1_recv_d4_03,Drone1,Drone1:46;Drone2:10;Drone3:10;Drone4:10;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,86.0,relative_confirmed,receive,Drone4
d1_send_d5_03,Drone1,Drone1:47;Drone2:10;Drone3:10;Drone4:10;Drone5:7;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,87.2,velocity_sent,send,Drone5
d5_recv_d1_03,Drone5,Drone1:47;Drone2:10;Drone3:10;Drone4:10;Drone5:8;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,88.0,processing,receive,Drone1
d5_compute_03,Drone5,Drone1:47;Drone2:10;Drone3:10;Drone4:10;Drone5:9;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,88.5,relative_computed,local,
d5_send_d1_03,Drone5,Drone1:47;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,89.0,relative_sent,send,Drone1
d1_recv_d5_03,Drone1,Drone1:48;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,90.0,relative_confirmed,receive,Drone5
d1_send_d6_03,Drone1,Drone1:49;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:7;Drone7:7;Drone8:7;Drone9:7;Drone10:7,91.2,velocity_sent,send,Drone6
d6_recv_d1_03,Drone6,Drone1:49;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:8;Drone7:7;Drone8:7;Drone9:7;Drone10:7,92.0,processing,receive,Drone1
d6_compute_03,Drone6,Drone1:49;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:9;Drone7:7;Drone8:7;Drone9:7;Drone10:7,92.5,relative_computed,local,
d6_send_d1_03,Drone6,Drone1:49;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:10;Drone7:7;Drone8:7;Drone9:7;Drone10:7,93.0,relative_sent,send,Drone1
d1_recv_d6_03,Drone1,Drone1:50;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:10;Drone7:7;Drone8:7;Drone9:7;Drone10:7,94.0,relative_confirmed,receive,Drone6
d1_send_d7_03,Drone1,Drone1:51;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:10;Drone7:7;Drone8:7;Drone9:7;Drone10:7,95.2,velocity_sent,send,Drone7
d7_recv_d1_03,Drone7,Drone1:51;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:10;Drone7:8;Drone8:7;Drone9:7;Drone10:7,96.0,processing,receive,Drone1
d7_compute_03,Drone7,Drone1:51;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:10;Drone7:9;Drone8:7;Drone9:7;Drone10:7,96.5,relative_computed,local,
d7_send_d1_03,Drone7,Drone1:51;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:10;Drone7:10;Drone8:7;Drone9:7;Drone10:7,97.0,relative_sent,send,Drone1
d1_recv_d7_03,Drone1,Drone1:52;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:10;Drone7:10;Drone8:7;Drone9:7;Drone10:7,98.0,relative_confirmed,receive,Drone7
d1_send_d8_03,Drone1,Drone1:53;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:10;Drone7:10;Drone8:7;Drone9:7;Drone10:7,99.2,velocity_sent,send,Drone8
d8_recv_d1_03,Drone8,Drone1:53;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:10;Drone7:10;Drone8:8;Drone9:7;Drone10:7,100.0,processing,receive,Drone1
d8_compute_03,Drone8,Drone1:53;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:10;Drone7:10;Drone8:9;Drone9:7;Drone10:7,100.5,relative_computed,local,
d8_send_d1_03,Drone8,Drone1:53;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:10;Drone7:10;Drone8:10;Drone9:7;Drone10:7,101.0,relative_sent,send,Drone1
