d1_measure_02,Drone1,Drone1:13;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4,22.0,velocity_measured,local,
d1_send_d2_02,Drone1,Drone1:14;Drone2:4;Drone3:4;Drone4:4;Drone5:4;Drone6:4,22.2,velocity_sent,send,Drone2
d2_recv_d1_02,Drone2,Drone1:14;Drone2:5;Drone3:4;Drone4:4;Drone5:4;Drone6:4,23.0,processing,receive,Drone1
d2_compute_02,Drone2,Drone1:14;Drone2:6;Drone3:4;Drone4:4;Drone5:4;Drone6:4,23.5,relative_computed,local,
d2_send_d1_02,Drone2,Drone1:14;Drone2:7;Drone3:4;Drone4:4;Drone5:4;Drone6:4,24.0,relative_sent,send,Drone1
d1_recv_d2_02,Drone1,Drone1:15;Drone2:7;Drone3:4;Drone4:4;Drone5:4;Drone6:4,25.0,relative_confirmed,receive,Drone2
d1_send_d3_02,Drone1,Drone1:16;Drone2:7;Drone3:4;Drone4:4;Drone5:4;Drone6:4,26.2,velocity_sent,send,Drone3
d3_recv_d1_02,Drone3,Drone1:16;Drone2:7;Drone3:5;Drone4:4;Drone5:4;Drone6:4,27.0,processing,receive,Drone1
d3_compute_02,Drone3,Drone1:16;Drone2:7;Drone3:6;Drone4:4;Drone5:4;Drone6:4,27.5,relative_computed,local,
d3_send_d1_02,Drone3,Drone1:16;Drone2:7;Drone3:7;Drone4:4;Drone5:4;Drone6:4,28.0,relative_sent,send,Drone1
d1_recv_d3_02,Drone1,Drone1:17;Drone2:7;Drone3:7;Drone4:4;Drone5:4;Drone6:4,29.0,relative_confirmed,receive,Drone3
d1_send_d4_02,Drone1,Drone1:18;Drone2:7;Drone3:7;Drone4:4;Drone5:4;Drone6:4,30.2,velocity_sent,send,Drone4
d4_recv_d1_02,Drone4,Drone1:18;Drone2:7;Drone3:7;Drone4:5;Drone5:4;Drone6:4,31.0,processing,receive,Drone1
d4_compute_02,Drone4,Drone1:18;Drone2:7;Drone3:7;Drone4:6;Drone5:4;Drone6:4,31.5,relative_computed,local,
d4_send_d1_02,Drone4,Drone1:18;Drone2:7;Drone3:7;Drone4:7;Drone5:4;Drone6:4,32.0,relative_sent,send,Drone1
d1_recv_d4_02,Drone1,Drone1:19;Drone2:7;Drone3:7;Drone4:7;Drone5:4;Drone6:4,33.0,relative_confirmed,receive,Drone4
d1_send_d5_02,Drone1,Drone1:20;Drone2:7;Drone3:7;Drone4:7;Drone5:4;Drone6:4,34.2,velocity_sent,send,Drone5
d5_recv_d1_02,Drone5,Drone1:20;Drone2:7;Drone3:7;Drone4:7;Drone5:5;Drone6:4,35.0,processing,receive,Drone1
d5_compute_02,Drone5,Drone1:20;Drone2:7;Drone3:7;Drone4:7;Drone5:6;Drone6:4,35.5,relative_computed,local,
d5_send_d1_02,Drone5,Drone1:20;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:4,36.0,relative_sent,send,Drone1
d1_recv_d5_02,Drone1,Drone1:21;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:4,37.0,relative_confirmed,receive,Drone5
d1_send_d6_02,Drone1,Drone1:22;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:4,38.2,velocity_sent,send,Drone6
d6_recv_d1_02,Drone6,Drone1:22;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:5,39.0,processing,receive,Drone1
d6_compute_02,Drone6,Drone1:22;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:6,39.5,relative_computed,local,
d6_send_d1_02,Drone6,Drone1:22;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7,40.0,relative_sent,send,Drone1
d1_recv_d6_02,Drone1,Drone1:23;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7,41.0,relative_confirmed,receive,Drone6
d1_measure_03,Drone1,Drone1:24;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7,43.0,velocity_measured,local,
d1_send_d2_03,Drone1,Drone1:25;Drone2:7;Drone3:7;Drone4:7;Drone5:7;Drone6:7,43.2,velocity_sent,send,Drone2
d2_recv_d1_03,Drone2,Drone1:25;Drone2:8;Drone3:7;Drone4:7;Drone5:7;Drone6:7,44.0,processing,receive,Drone1
d2_compute_03,Drone2,Drone1:25;Drone2:9;Drone3:7;Drone4:7;Drone5:7;Drone6:7,44.5,relative_computed,local,
d2_send_d1_03,Drone2,Drone1:25;Drone2:10;Drone3:7;Drone4:7;Drone5:7;Drone6:7,45.0,relative_sent,send,Drone1
d1_recv_d2_03,Drone1,Drone1:26;Drone2:10;Drone3:7;Drone4:7;Drone5:7;Drone6:7,46.0,relative_confirmed,receive,Drone2
d1_send_d3_03,Drone1,Drone1:27;Drone2:10;Drone3:7;Drone4:7;Drone5:7;Drone6:7,47.2,velocity_sent,send,Drone3
d3_recv_d1_03,Drone3,Drone1:27;Drone2:10;Drone3:8;Drone4:7;Drone5:7;Drone6:7,48.0,processing,receive,Drone1
d3_compute_03,Drone3,Drone1:27;Drone2:10;Drone3:9;Drone4:7;Drone5:7;Drone6:7,48.5,relative_computed,local,
d3_send_d1_03,Drone3,Drone1:27;Drone2:10;Drone3:10;Drone4:7;Drone5:7;Drone6:7,49.0,relative_sent,send,Drone1
d1_recv_d3_03,Drone1,Drone1:28;Drone2:10;Drone3:10;Drone4:7;Drone5:7;Drone6:7,50.0,relative_confirmed,receive,Drone3
d1_send_d4_03,Drone1,Drone1:29;Drone2:10;Drone3:10;Drone4:7;Drone5:7;Drone6:7,51.2,velocity_sent,send,Drone4
d4_recv_d1_03,Drone4,Drone1:29;Drone2:10;Drone3:10;Drone4:8;Drone5:7;Drone6:7,52.0,processing,receive,Drone1
d4_compute_03,Drone4,Drone1:29;Drone2:10;Drone3:10;Drone4:9;Drone5:7;Drone6:7,52.5,relative_computed,local,
d4_send_d1_03,Drone4,Drone1:29;Drone2:10;Drone3:10;Drone4:10;Drone5:7;Drone6:7,53.0,relative_sent,send,Drone1
d1_recv_d4_03,Drone1,Drone1:30;Drone2:10;Drone3:10;Drone4:10;Drone5:7;Drone6:7,54.0,relative_confirmed,receive,Drone4
d1_send_d5_03,Drone1,Drone1:31;Drone2:10;Drone3:10;Drone4:10;Drone5:7;Drone6:7,55.2,velocity_sent,send,Drone5
d5_recv_d1_03,Drone5,Drone1:31;Drone2:10;Drone3:10;Drone4:10;Drone5:8;Drone6:7,56.0,processing,receive,Drone1
d5_compute_03,Drone5,Drone1:31;Drone2:10;Drone3:10;Drone4:10;Drone5:9;Drone6:7,56.5,relative_computed,local,
d5_send_d1_03,Drone5,Drone1:31;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:7,57.0,relative_sent,send,Drone1
d1_recv_d5_03,Drone1,Drone1:32;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:7,58.0,relative_confirmed,receive,Drone5
d1_send_d6_03,Drone1,Drone1:33;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:7,59.2,velocity_sent,send,Drone6
d6_recv_d1_03,Drone6,Drone1:33;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:8,60.0,processing,receive,Drone1
d6_compute_03,Drone6,Drone1:33;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:9,60.5,relative_computed,local,
d6_send_d1_03,Drone6,Drone1:33;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:10,61.0,relative_sent,send,Drone1
d1_recv_d6_03,Drone1,Drone1:34;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:10,62.0,relative_confirmed,receive,Drone6
d1_measure_04,Drone1,Drone1:35;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:10,64.0,velocity_measured,local,
d1_send_d2_04,Drone1,Drone1:36;Drone2:10;Drone3:10;Drone4:10;Drone5:10;Drone6:10,64.2,velocity_sent,send,Drone2
d2_recv_d1_04,Drone2,Drone1:36;Drone2:11;Drone3:10;Drone4:10;Drone5:10;Drone6:10,65.0,processing,receive,Drone1
d2_compute_04,Drone2,Drone1:36;Drone2:12;Drone3:10;Drone4:10;Drone5:10;Drone6:10,65.5,relative_computed,local,
d2_send_d1_04,Drone2,Drone1:36;Drone2:13;Drone3:10;Drone4:10;Drone5:10;Drone6:10,66.0,relative_sent,send,Drone1
d1_recv_d2_04,Drone1,Drone1:37;Drone2:13;Drone3:10;Drone4:10;Drone5:10;Drone6:10,67.0,relative_confirmed,receive,Drone2
d1_send_d3_04,Drone1,Drone1:38;Drone2:13;Drone3:10;Drone4:10;Drone5:10;Drone6:10,68.2,velocity_sent,send,Drone3
d3_recv_d1_04,Drone3,Drone1:38;Drone2:13;Drone3:11;Drone4:10;Drone5:10;Drone6:10,69.0,processing,receive,Drone1
d3_compute_04,Drone3,Drone1:38;Drone2:13;Drone3:12;Drone4:10;Drone5:10;Drone6:10,69.5,relative_computed,local,
d3_send_d1_04,Drone3,Drone1:38;Drone2:13;Drone3:13;Drone4:10;Drone5:10;Drone6:10,70.0,relative_sent,send,Drone1
d1_recv_d3_04,Drone1,Drone1:39;Drone2:13;Drone3:13;Drone4:10;Drone5:10;Drone6:10,71.0,relative_confirmed,receive,Drone3
d1_send_d4_04,Drone1,Drone1:40;Drone2:13;Drone3:13;Drone4:10;Drone5:10;Drone6:10,72.2,velocity_sent,send,Drone4
d4_recv_d1_04,Drone4,Drone1:40;Drone2:13;Drone3:13;Drone4:11;Drone5:10;Drone6:10,73.0,processing,receive,Drone1
d4_compute_04,Drone4,Drone1:40;Drone2:13;Drone3:13;Drone4:12;Drone5:10;Drone6:10,73.5,relative_computed,local,
d4_send_d1_04,Drone4,Drone1:40;Drone2:13;Drone3:13;Drone4:13;Drone5:10;Drone6:10,74.0,relative_sent,send,Drone1
d1_recv_d4_04,Drone1,Drone1:41;Drone2:13;Drone3:13;Drone4:13;Drone5:10;Drone6:10,75.0,relative_confirmed,receive,Drone4
d1_send_d5_04,Drone1,Drone1:42;Drone2:13;Drone3:13;Drone4:13;Drone5:10;Drone6:10,76.2,velocity_sent,send,Drone5
d5_recv_d1_04,Drone5,Drone1:42;Drone2:13;Drone3:13;Drone4:13;Drone5:11;Drone6:10,77.0,processing,receive,Drone1
d5_compute_04,Drone5,Drone1:42;Drone2:13;Drone3:13;Drone4:13;Drone5:12;Drone6:10,77.5,relative_computed,local,
d5_send_d1_04,Drone5,Drone1:42;Drone2:13;Drone3:13;Drone4:13;Drone5:13;Drone6:10,78.0,relative_sent,send,Drone1
d1_recv_d5_04,Drone1,Drone1:43;Drone2:13;Drone3:13;Drone4:13;Drone5:13;Drone6:10,79.0,relative_confirmed,receive,Drone5
d1_send_d6_04,Drone1,Drone1:44;Drone2:13;Drone3:13;Drone4:13;Drone5:13;Drone6:10,80.2,velocity_sent,send,Drone6
d6_recv_d1_04,Drone6,Drone1:44;Drone2:13;Drone3:13;Drone4:13;Drone5:13;Drone6:11,81.0,processing,receive,Drone1
d6_compute_04,Drone6,Drone1:44;Drone2:13;Drone3:13;Drone4:13;Drone5:13;Drone6:12,81.5,relative_computed,local,
d6_send_d1_04,Drone6,Drone1:44;Drone2:13;Drone3:13;Drone4:13;Drone5:13;Drone6:13,82.0,relative_sent,send,Drone1
d1_recv_d6_04,Drone1,Drone1:45;Drone2:13;Drone3:13;Drone4:13;Drone5:13;Drone6:13,83.0,relative_confirmed,receive,Drone6
d1_measure_05,Drone1,Drone1:46;Drone2:13;Drone3:13;Drone4:13;Drone5:13;Drone6:13,85.0,velocity_measured,local,
d1_send_d2_05,Drone1,Drone1:47;Drone2:13;Drone3:13;Drone4:13;Drone5:13;Drone6:13,85.2,velocity_sent,send,Drone2
d2_recv_d1_05,Drone2,Drone1:47;Drone2:14;Drone3:13;Drone4:13;Drone5:13;Drone6:13,86.0,processing,receive,Drone1
d2_compute_05,Drone2,Drone1:47;Drone2:15;Drone3:13;Drone4:13;Drone5:13;Drone6:13,86.5,relative_computed,local,
d2_send_d1_05,Drone2,Drone1:47;Drone2:16;Drone3:13;Drone4:13;Drone5:13;Drone6:13,87.0,relative_sent,send,Drone1
d1_recv_d2_05,Drone1,Drone1:48;Drone2:16;Drone3:13;Drone4:13;Drone5:13;Drone6:13,88.0,relative_confirmed,receive,Drone2
d1_send_d3_05,Drone1,Drone1:49;Drone2:16;Drone3:13;Drone4:13;Drone5:13;Drone6:13,89.2,velocity_sent,send,Drone3
d3_recv_d1_05,Drone3,Drone1:49;Drone2:16;Drone3:14;Drone4:13;Drone5:13;Drone6:13,90.0,processing,receive,Drone1
d3_compute_05,Drone3,Drone1:49;Drone2:16;Drone3:15;Drone4:13;Drone5:13;Drone6:13,90.5,relative_computed,local,
d3_send_d1_05,Drone3,Drone1:49;Drone2:16;Drone3:16;Drone4:13;Drone5:13;Drone6:13,91.0,relative_sent,send,Drone1
d1_recv_d3_05,Drone1,Drone1:50;Drone2:16;Drone3:16;Drone4:13;Drone5:13;Drone6:13,92.0,relative_confirmed,receive,Drone3
d1_send_d4_05,Drone1,Drone1:51;Drone2:16;Drone3:16;Drone4:13;Drone5:13;Drone6:13,93.2,velocity_sent,send,Drone4
d4_recv_d1_05,Drone4,Drone1:51;Drone2:16;Drone3:16;Drone4:14;Drone5:13;Drone6:13,94.0,processing,receive,Drone1
d4_compute_05,Drone4,Drone1:51;Drone2:16;Drone3:16;Drone4:15;Drone5:13;Drone6:13,94.5,relative_computed,local,
d4_send_d1_05,Drone4,Drone1:51;Drone2:16;Drone3:16;Drone4:16;Drone5:13;Drone6:13,95.0,relative_sent,send,Drone1
d1_recv_d4_05,Drone1,Drone1:52;Drone2:16;Drone3:16;Drone4:16;Drone5:13;Drone6:13,96.0,relative_confirmed,receive,Drone4
d1_send_d5_05,Drone1,Drone1:53;Drone2:16;Drone3:16;Drone4:16;Drone5:13;Drone6:13,97.2,velocity_sent,send,Drone5
d5_recv_d1_05,Drone5,Drone1:53;Drone2:16;Drone3:16;Drone4:16;Drone5:14;Drone6:13,98.0,processing,receive,Drone1
d5_compute_05,Drone5,Drone1:53;Drone2:16;Drone3:16;Drone4:16;Drone5:15;Drone6:13,98.5,relative_computed,local,
d5_send_d1_05,Drone5,Drone1:53;Drone2:16;Drone3:16;Drone4:16;Drone5:16;Drone6:13,99.0,relative_sent,send,Drone1
d1_recv_d5_05,Drone1,Drone1:54;Drone2:16;Drone3:16;Drone4:16;Drone5:16;Drone6:13,100.0,relative_confirmed,receive,Drone5
d1_send_d6_05,Drone1,Drone1:55;Drone2:16;Drone3:16;Drone4:16;Drone5:16;Drone6:13,101.2,velocity_sent,send,Drone6
d6_recv_d1_05,Drone6,Drone1:55;Drone2:16;Drone3:16;Drone4:16;Drone5:16;Drone6:14,102.0,processing,receive,Drone1
d6_compute_05,Drone6,Drone1:55;Drone2:16;Drone3:16;Drone4:16;Drone5:16;Drone6:15,102.5,relative_computed,local,
d6_send_d1_05,Drone6,Drone1:55;Drone2:16;Drone3:16;Drone4:16;Drone5:16;Drone6:16,103.0,relative_sent,send,Drone1
d1_recv_d6_05,Drone1,Drone1:56;Drone2:16;Drone3:16;Drone4:16;Drone5:16;Drone6:16,104.0,relative_confirmed,receive,Drone6
d1_measure_06,Drone1,Drone1:57;Drone2:16;Drone3:16;Drone4:16;Drone5:16;Drone6:16,106.0,velocity_measured,local,
d1_send_d2_06,Drone1,Drone1:58;Drone2:16;Drone3:16;Drone4:16;Drone5:16;Drone6:16,106.2,velocity_sent,send,Drone2
d2_recv_d1_06,Drone2,Drone1:58;Drone2:17;Drone3:16;Drone4:16;Drone5:16;Drone6:16,107.0,processing,receive,Drone1
d2_compute_06,Drone2,Drone1:58;Drone2:18;Drone3:16;Drone4:16;Drone5:16;Drone6:16,107.5,relative_computed,local,
d2_send_d1_06,Drone2,Drone1:58;Drone2:19;Drone3:16;Drone4:16;Drone5:16;Drone6:16,108.0,relative_sent,send,Drone1
d1_recv_d2_06,Drone1,Drone1:59;Drone2:19;Drone3:16;Drone4:16;Drone5:16;Drone6:16,109.0,relative_confirmed,receive,Drone2
d1_send_d3_06,Drone1,Drone1:60;Drone2:19;Drone3:16;Drone4:16;Drone5:16;Drone6:16,110.2,velocity_sent,send,Drone3
d3_recv_d1_06,Drone3,Drone1:60;Drone2:19;Drone3:17;Drone4:16;Drone5:16;Drone6:16,111.0,processing,receive,Drone1
d3_compute_06,Drone3,Drone1:60;Drone2:19;Drone3:18;Drone4:16;Drone5:16;Drone6:16,111.5,relative_computed,local,
d3_send_d1_06,Drone3,Drone1:60;Drone2:19;Drone3:19;Drone4:16;Drone5:16;Drone6:16,112.0,relative_sent,send,Drone1
d1_recv_d3_06,Drone1,Drone1:61;Drone2:19;Drone3:19;Drone4:16;Drone5:16;Drone6:16,113.0,relative_confirmed,receive,Drone3
d1_send_d4_06,Drone1,Drone1:62;Drone2:19;Drone3:19;Drone4:16;Drone5:16;Drone6:16,114.2,velocity_sent,send,Drone4
d4_recv_d1_06,Drone4,Drone1:62;Drone2:19;Drone3:19;Drone4:17;Drone5:16;Drone6:16,115.0,processing,receive,Drone1
d4_compute_06,Drone4,Drone1:62;Drone2:19;Drone3:19;Drone4:18;Drone5:16;Drone6:16,115.5,relative_computed,local,
d4_send_d1_06,Drone4,Drone1:62;Drone2:19;Drone3:19;Drone4:19;Drone5:16;Drone6:16,116.0,relative_sent,send,Drone1
d1_recv_d4_06,Drone1,Drone1:63;Drone2:19;Drone3:19;Drone4:19;Drone5:16;Drone6:16,117.0,relative_confirmed,receive,Drone4
d1_send_d5_06,Drone1,Drone1:64;Drone2:19;Drone3:19;Drone4:19;Drone5:16;Drone6:16,118.2,velocity_sent,send,Drone5
d5_recv_d1_06,Drone5,Drone1:64;Drone2:19;Drone3:19;Drone4:19;Drone5:17;Drone6:16,119.0,processing,receive,Drone1
d5_compute_06,Drone5,Drone1:64;Drone2:19;Drone3:19;Drone4:19;Drone5:18;Drone6:16,119.5,relative_computed,local,
d5_send_d1_06,Drone5,Drone1:64;Drone2:19;Drone3:19;Drone4:19;Drone5:19;Drone6:16,120.0,relative_sent,send,Drone1
d1_recv_d5_06,Drone1,Drone1:65;Drone2:19;Drone3:19;Drone4:19;Drone5:19;Drone6:16,121.0,relative_confirmed,receive,Drone5
d1_send_d6_06,Drone1,Drone1:66;Drone2:19;Drone3:19;Drone4:19;Drone5:19;Drone6:16,122.2,velocity_sent,send,Drone6
d6_recv_d1_06,Drone6,Drone1:66;Drone2:19;Drone3:19;Drone4:19;Drone5:19;Drone6:17,123.0,processing,receive,Drone1
d6_compute_06,Drone6,Drone1:66;Drone2:19;Drone3:19;Drone4:19;Drone5:19;Drone6:18,123.5,relative_computed,local,
d6_send_d1_06,Drone6,Drone1:66;Drone2:19;Drone3:19;Drone4:19;Drone5:19;Drone6:19,124.0,relative_sent,send,Drone1
d1_recv_d6_06,Drone1,Drone1:67;Drone2:19;Drone3:19;Drone4:19;Drone5:19;Drone6:19,125.0,relative_confirmed,receive,Drone6
d1_measure_07,Drone1,Drone1:68;Drone2:19;Drone3:19;Drone4:19;Drone5:19;Drone6:19,127.0,velocity_measured,local,
d1_send_d2_07,Drone1,Drone1:69;Drone2:19;Drone3:19;Drone4:19;Drone5:19;Drone6:19,127.2,velocity_sent,send,Drone2
d2_recv_d1_07,Drone2,Drone1:69;Drone2:20;Drone3:19;Drone4:19;Drone5:19;Drone6:19,128.0,processing,receive,Drone1
d2_compute_07,Drone2,Drone1:69;Drone2:21;Drone3:19;Drone4:19;Drone5:19;Drone6:19,128.5,relative_computed,local,
d2_send_d1_07,Drone2,Drone1:69;Drone2:22;Drone3:19;Drone4:19;Drone5:19;Drone6:19,129.0,relative_sent,send,Drone1
d1_recv_d2_07,Drone1,Drone1:70;Drone2:22;Drone3:19;Drone4:19;Drone5:19;Drone6:19,130.0,relative_confirmed,receive,Drone2
d1_send_d3_07,Drone1,Drone1:71;Drone2:22;Drone3:19;Drone4:19;Drone5:19;Drone6:19,131.2,velocity_sent,send,Drone3
d3_recv_d1_07,Drone3,Drone1:71;Drone2:22;Drone3:20;Drone4:19;Drone5:19;Drone6:19,132.0,processing,receive,Drone1
d3_compute_07,Drone3,Drone1:71;Drone2:22;Drone3:21;Drone4:19;Drone5:19;Drone6:19,132.5,relative_computed,local,
d3_send_d1_07,Drone3,Drone1:71;Drone2:22;Drone3:22;Drone4:19;Drone5:19;Drone6:19,133.0,relative_sent,send,Drone1
d1_recv_d3_07,Drone1,Drone1:72;Drone2:22;Drone3:22;Drone4:19;Drone5:19;Drone6:19,134.0,relative_confirmed,receive,Drone3
d1_send_d4_07,Drone1,Drone1:73;Drone2:22;Drone3:22;Drone4:19;Drone5:19;Drone6:19,135.2,velocity_sent,send,Drone4
d4_recv_d1_07,Drone4,Drone1:73;Drone2:22;Drone3:22;Drone4:20;Drone5:19;Drone6:19,136.0,processing,receive,Drone1
d4_compute_07,Drone4,Drone1:73;Drone2:22;Drone3:22;Drone4:21;Drone5:19;Drone6:19,136.5,relative_computed,local,
d4_send_d1_07,Drone4,Drone1:73;Drone2:22;Drone3:22;Drone4:22;Drone5:19;Drone6:19,137.0,relative_sent,send,Drone1
d1_recv_d4_07,Drone1,Drone1:74;Drone2:22;Drone3:22;Drone4:22;Drone5:19;Drone6:19,138.0,relative_confirmed,receive,Drone4
d1_send_d5_07,Drone1,Drone1:75;Drone2:22;Drone3:22;Drone4:22;Drone5:19;Drone6:19,139.2,velocity_sent,send,Drone5
d5_recv_d1_07,Drone5,Drone1:75;Drone2:22;Drone3:22;Drone4:22;Drone5:20;Drone6:19,140.0,processing,receive,Drone1
d5_compute_07,Drone5,Drone1:75;Drone2:22;Drone3:22;Drone4:22;Drone5:21;Drone6:19,140.5,relative_computed,local,
d5_send_d1_07,Drone5,Drone1:75;Drone2:22;Drone3:22;Drone4:22;Drone5:22;Drone6:19,141.0,relative_sent,send,Drone1
d1_recv_d5_07,Drone1,Drone1:76;Drone2:22;Drone3:22;Drone4:22;Drone5:22;Drone6:19,142.0,relative_confirmed,receive,Drone5
d1_send_d6_07,Drone1,Drone1:77;Drone2:22;Drone3:22;Drone4:22;Drone5:22;Drone6:19,143.2,velocity_sent,send,Drone6
d6_recv_d1_07,Drone6,Drone1:77;Drone2:22;Drone3:22;Drone4:22;Drone5:22;Drone6:20,144.0,processing,receive,Drone1
d6_compute_07,Drone6,Drone1:77;Drone2:22;Drone3:22;Drone4:22;Drone5:22;Drone6:21,144.5,relative_computed,local,
d6_send_d1_07,Drone6,Drone1:77;Drone2:22;Drone3:22;Drone4:22;Drone5:22;Drone6:22,145.0,relative_sent,send,Drone1
d1_recv_d6_07,Drone1,Drone1:78;Drone2:22;Drone3:22;Drone4:22;Drone5:22;Drone6:22,146.0,relative_confirmed,receive,Drone6
d1_measure_08,Drone1,Drone1:79;Drone2:22;Drone3:22;Drone4:22;Drone5:22;Drone6:22,148.0,velocity_measured,local,
d1_send_d2_08,Drone1,Drone1:80;Drone2:22;Drone3:22;Drone4:22;Drone5:22;Drone6:22,148.2,velocity_sent,send,Drone2
